USERNAME,EMAIL,ACCOUNT_NAME,ACCOUNT_ID,ACCOUNT_LEVEL,WINS,LOSSES,WIN_RATE,LEAGUE_POINTS,RANK,TIER,OVERALL_SCORE,ROLE,SCHEDULE_TIME_START,SCHEDULE_TIME_END,AGREEABLENESS,CONSCIENTIOUSNESS,EXTRAVERSION,NEUROTICISM,OPENNESS
MadgeHickleMD,magdalene.feeney@hotmail.com,ShermanWaddEvver,b569f6cd-bed6-4407-9da5-cb3ffd1ddaa2,128,72,70,50.7,164,II,GOLD,1428,SUPPORT,23,1,3.9,4.5,3.7,2.2,3.1
JewelKoepp,tom.zboncak@yahoo.com,CalEfornia,e457ba8f-b08e-4e16-8086-625e61355430,498,35,24,59.3,160,IV,SILVER,1598,JUNGLE,16,18,4.8,1.6,3.1,2.9,2.4
ArleanFlatley,darin.johnston@gmail.com,FatherA.Long,4f509f8d-a80c-4ad1-ad87-719273acd1a2,481,267,213,55.6,1,I,SILVER,1281,MID,18,22,1.9,2.6,3.4,2.1,4.3
CleoFritsch,titus.johnson@yahoo.com,ClaireAnnette,f608d926-29b1-433c-a25b-72f2328a21de,20,163,144,53.1,0,II,IRON,120,TOP,22,0,5,2.7,4.1,4.7,4.8
Ms.DoreathaZboncak,darrel.terry@yahoo.com,NoahLott,c3def61b-1950-43cd-acf3-2996f7524177,521,275,217,55.9,32,I,CHALLENGER,3321,MID,12,16,4.7,3.2,3.6,4.8,3
CraigPfeffer,shanna.hamill@hotmail.com,ColinAllcars,ed7ad9a1-a2c6-4f11-9442-325b7d3e0305,437,707,672,51.3,49,I,CHALLENGER,3237,TOP,5,7,3.3,4,2.6,3.9,5
Ms.AlexandriaKassulke,lilia.hilll@yahoo.com,KenyaDewit,d5b88804-1f6d-4f15-8550-b0938d3803c7,274,88,69,56.1,1,II,DIAMOND,2374,TOP,7,9,4.7,1.6,3.8,3.1,4.8
JasperRippin,jeff.king@gmail.com,AliGator,ee9de104-7a6c-438f-a68d-9afb281c2bb8,389,112,118,48.7,0,I,CHALLENGER,3189,MID,12,14,1.6,4.4,1.1,1.1,2
JacquettaChristiansen,fay.murazik@gmail.com,RichGuy,8da1d629-88d4-44d5-ab20-ef9a58f427ec,155,144,98,59.5,1,I,MASTER,2955,TOP,7,10,3.3,1.1,4.8,3.5,1.9
NidaLabadie,genaro.adams@hotmail.com,FayeSlift,c39850d4-903a-4d65-a114-6ee9f1b7d14b,318,207,133,60.9,1,II,GOLD,1618,ADC,21,0,2.1,1.2,1.2,1.9,3.7
MaryanneTrantow,desire.lemke@yahoo.com,GingerVitis,33258f6d-f4e5-4fa0-b02c-cbf2901d9858,48,222,202,52.4,16,IV,SILVER,1148,JUNGLE,13,14,1.9,3.3,3.5,2.8,4.2
RupertHudson,meaghan.collier@hotmail.com,I.Pullem,64ed7bea-71c0-46c7-8b11-0edccff8d186,683,45,41,52.3,5,I,CHALLENGER,3483,JUNGLE,1,4,2.3,3.9,4.7,4.7,2.6
HomerGerhold,rutha.hills@yahoo.com,SalA.Mander,8780d96e-0f1a-4e5f-a92a-ceac8744f954,476,155,122,56,0,IV,BRONZE,1176,ADC,2,6,3,4.9,3.8,3.1,2.3
DarcySchummPhD,dotty.altenwerth@yahoo.com,MistyC.Shore,eea2c9b1-cb4c-4c16-93d6-db1b8bcd683b,433,200,157,56,46,IV,IRON,733,ADC,17,18,4,3.5,3.6,3.1,1.2
MissTeresaLindgren,booker.botsford@gmail.com,AndyGravity,aca791fd-4ce9-456c-a60e-f41324dae50b,269,134,124,51.9,16,IV,BRONZE,969,JUNGLE,7,11,3.2,4.3,3.4,1.8,2.4
BarabaraHayes,chase.sauer@gmail.com,MarcusAbsent,b6ab7233-65dc-45be-825e-de135bc985f9,697,118,105,52.9,1,III,DIAMOND,2897,SUPPORT,8,9,4.2,3.4,2.3,4.3,3.2
Mr.AlexOConnell,kelvin.lowe@yahoo.com,RichKidd,703307b0-d722-45fd-9dfd-0a9231a12237,132,208,181,53.5,1,IV,DIAMOND,2432,SUPPORT,6,9,4.3,1.2,3.3,3.9,2.6
VictorZulaufMD,jeromy.pacocha@yahoo.com,HowieDoohan,5a003cd3-bc60-457a-8fe3-7fc8f77acfb6,679,203,178,53.3,16,IV,IRON,979,MID,19,23,1.9,2.2,4,2.4,1.7
DamianToyI,will.collins@hotmail.com,WinnieDipoo,5877addb-2383-4aea-845a-e0b72c384bfb,45,203,200,50.4,24,III,IRON,245,ADC,10,14,4.7,4.9,2.9,1.3,4.5
AntoineSchiller,shirlene.bartoletti@hotmail.com,RobinMeeblind,6de04a7c-9233-4480-b18d-15772ee6f622,4,380,317,54.5,62,III,SILVER,1004,ADC,13,14,1.5,1.2,2.1,3.1,2.8
QueenieRutherford,fermin.kirlin@gmail.com,RyanCoke,9a0e0e82-0f46-403f-b7f1-ab575de898c9,608,428,391,52.3,0,I,CHALLENGER,3408,SUPPORT,4,5,2.1,3.1,2.3,3.3,1.6
LanaJohns,carolyn.heidenreich@yahoo.com,KennyPenny,86d1411c-5b01-4e16-9494-df6d8507e202,553,470,458,50.6,1,I,CHALLENGER,3353,SUPPORT,9,13,4.5,2.5,2.6,2.4,3.5
Mr.CarlDonnelly,thanh.heathcote@hotmail.com,JeffHealitt,1bd88a6e-2f1e-4644-818c-c6615e4b444f,181,169,124,57.7,0,I,GOLD,1381,SUPPORT,0,2,4.6,1.3,1.2,4.3,3.6
NathanielHermann,meridith.langosh@yahoo.com,RichFeller,13a87ef0-18ae-467c-b32c-e7e3a64b1041,125,156,136,53.4,0,IV,GOLD,1625,JUNGLE,4,6,2.4,2.5,1.7,2.2,4
MackSanford,nia.stroman@hotmail.com,MasonJarr,00fdc534-ea1d-4333-a0cf-baa85dca2665,650,144,97,59.8,1,I,IRON,650,SUPPORT,11,14,2.9,4.3,4.4,1.5,3.3
DevoraRodriguez,rolando.jast@gmail.com,WillWynn,bc538148-8d35-4c22-9d97-073064ad9ab0,499,58,28,67.4,1,II,BRONZE,999,MID,2,6,2.3,2.6,2.3,1.8,3.6
StanleyTerry,gilberte.bergstrom@yahoo.com,MaryA.Richman,9495d883-c892-4844-8cbe-312f39b88634,508,125,111,53,1,I,GOLD,1708,ADC,10,14,2.8,4.3,4.3,1.6,1.6
Ms.ChangWillms,cinda.gutmann@gmail.com,WillWynn,aa9f3c5e-43e8-41eb-8299-cdc1309df5de,435,230,193,54.4,24,IV,SILVER,1535,TOP,0,3,4.6,1.1,4.1,3.3,3.2
ShauntaHane,francisco.rowe@hotmail.com,HammondEggs,693b8705-2b48-4fab-814a-ca906a782656,475,47,28,62.7,1,III,GOLD,1875,ADC,19,20,1.8,4.9,3.3,3.7,1.9
AlysiaKeebler,gonzalo.mccullough@yahoo.com,MayK.Fist,9d5409d0-dcde-4a0d-9164-bd6080161043,126,47,21,69.1,1,III,IRON,326,MID,9,10,4.1,3.2,3.9,1.3,4.7
JeromyDAmore,jonell.christiansen@gmail.com,RustyCarr,15eb5d6f-b871-4c20-89d0-8e8b990fea15,138,278,248,52.9,1,II,BRONZE,638,MID,1,3,4.2,1.3,2.4,4.4,1.9
Mr.StaciLockman,neva.mills@hotmail.com,FrankFurter,51225798-fa9c-445a-825e-0f8339c57e4d,48,75,54,58.1,1,III,DIAMOND,2248,JUNGLE,1,4,4.9,3.6,1.3,2.3,1.5
TyronErnserIII,bo.torphy@gmail.com,LouStooth,682e146c-7e08-436e-8273-d1f18872a964,73,78,53,59.5,1,III,SILVER,1073,TOP,8,12,1.4,2.7,1.8,3.1,3.5
AngeloFlatleyI,magan.senger@hotmail.com,LivGood,11409a81-609a-42cc-af88-59980b1a43da,497,111,88,55.8,1,III,SILVER,1497,TOP,20,21,3.9,3.4,2.6,2.3,4.5
GarlandChristiansen,orville.bradtke@hotmail.com,MargeInnastraightline,d4259d83-f627-46cd-91b8-878d1dd32210,132,136,114,54.4,1,I,GRANDMASTER,2932,SUPPORT,20,21,3.8,2.7,2.4,2.4,1.8
Mr.ElmerBayer,ray.crooks@hotmail.com,IsadoreBell,18c86749-e4d5-4a62-9dcb-795912ad8bc5,593,136,107,56,9,II,BRONZE,1093,TOP,19,21,3.9,1.7,4,4.6,3.4
CathleenZboncak,melina.koss@gmail.com,ParkA.Studebaker,98af9ee2-c816-4072-976e-bae2cc66af91,464,146,129,53.1,1,II,GOLD,1764,SUPPORT,0,4,4.8,2.5,1.8,4,2.5
ElenoraCrona,cleveland.toy@hotmail.com,WilmaLeggrowbach,0b62ebac-098c-4822-a901-69c9a626b33b,697,99,83,54.4,0,I,GRANDMASTER,3497,TOP,19,22,4.9,3,1.4,4.5,4.3
DarylMurphy,venita.mccullough@yahoo.com,ColeDurkee,dd91d0a6-2d65-48c6-b6db-272f92782a7a,5,232,182,56,1,III,BRONZE,605,TOP,6,8,3.5,4.3,3,1.2,1.9
Mrs.JonasHuel,maximo.anderson@hotmail.com,SandyC.Shore,23450120-66a2-4572-a021-87b151b335de,357,82,59,58.2,1,I,SILVER,1157,TOP,22,1,1.5,4,1.1,2.6,3.8
MarylouiseRatkeJr.,valerie.waters@gmail.com,ArtieChoke,0b17805e-01dd-4194-83b1-4b7380c24f0c,359,187,163,53.4,0,IV,GOLD,1859,MID,14,18,4.5,3.7,3,2.3,2.9
Ms.JulietteNienow,sue.stroman@yahoo.com,JimNasium,69d2e4c0-7126-4567-bbcb-c19cf9486fcc,653,206,145,58.7,399,II,BRONZE,1153,JUNGLE,7,9,2.9,1.3,1.3,3.6,4.9
Dr.ZacheryFrami,domingo.abernathy@hotmail.com,IgorBeaver,b6b5e056-920b-4392-910a-d595f4ebc6fa,322,37,15,71.2,469,IV,DIAMOND,2622,TOP,4,8,4.5,4.7,5,3.2,4.5
DamionBotsford,rosaline.walker@yahoo.com,LonMoore,9f27a93b-96af-4830-bea9-4cd198fe5feb,189,159,127,55.6,342,III,IRON,389,JUNGLE,8,10,4.4,4,2.6,2.4,4.7
KeenanNikolausIII,marisa.blanda@yahoo.com,LeighKing,387047d1-4d10-4280-a170-ab34c532cb20,53,315,279,53,339,IV,PLATINUM,1953,MID,5,7,4.1,2.3,3.8,1.5,4
Ms.IrvingPfeffer,cheyenne.breitenberg@hotmail.com,ParkA.Studebaker,d9f8f144-8163-420d-ae5a-ed466196308a,514,42,25,62.7,1,IV,BRONZE,1214,TOP,14,17,3.4,2,2.2,3.2,1.6
AlinaBednar,tyree.ernser@hotmail.com,AliGator,8770ce65-704f-4d4a-b9d0-62ca6d0d3c57,493,254,220,53.6,14,I,PLATINUM,2093,TOP,21,22,3.8,1.4,3.5,3.9,4.5
BretJones,adelaida.mante@yahoo.com,E.Ville,e4a2f674-1dc4-4577-bd1c-85d0db746f9e,638,97,65,59.9,1,II,PLATINUM,2338,MID,21,23,1.8,2.6,4,1.5,2.6
VirgilRogahn,ramon.aufderhar@gmail.com,HalJalikakick,aadb9531-978f-4434-953c-4d24d6466f36,477,50,31,61.7,37,III,SILVER,1477,ADC,16,18,2.5,4.4,3.5,4.3,4.9
MiltonBotsford,harrison.langworth@yahoo.com,LauraNorder,7779b228-3161-431f-a01b-53d2422e441b,655,290,290,50,1,I,CHALLENGER,3455,SUPPORT,11,13,1.7,5,3.4,3.7,1.6
MaudOrtizIII,ha.heidenreich@hotmail.com,RichKidd,905977eb-bcd3-4d61-9997-73c7d37d9eb5,540,384,392,49.5,1,III,PLATINUM,2340,ADC,2,6,3.9,4.9,4.9,2.9,3.3
BennyKris,yoshiko.waelchi@gmail.com,AprilSchauer,4335a4ec-e0d9-4fc7-a6a9-3621180f801b,345,226,195,53.7,0,I,GRANDMASTER,3145,ADC,2,6,1.5,4.2,3.9,3.9,1.5
NgaJenkinsI,lincoln.cassin@yahoo.com,MabelSyrup,53cfa76b-661f-42a4-863b-0049b2f60406,593,86,60,58.9,1,I,CHALLENGER,3393,SUPPORT,10,11,1.9,3.1,3.1,1.5,4.6
Mr.VanesaKihn,jeannine.rice@gmail.com,BeauVine,07e2b58d-b4dc-45ba-82a4-49d830f495a7,360,127,95,57.2,6,I,CHALLENGER,3160,MID,10,11,4.7,3.5,1.6,3.3,4
LacyBins,tristan.bayer@yahoo.com,AnneT.Lope,5f8bfef6-a119-46ce-a20c-fc142169f72e,359,77,45,63.1,2,I,CHALLENGER,3159,SUPPORT,19,23,3,3.4,4.3,3.2,2.8
EarnestSchinner,franklin.ritchie@hotmail.com,KittyKatz,51995421-8040-44e9-b85e-1d49969c2e51,102,372,328,53.1,80,II,GOLD,1402,JUNGLE,1,2,3,4.9,3.9,3.1,2.5
MaragretStreich,emmett.buckridge@gmail.com,ImaHogg,96bc053b-0e8e-4a0b-aab7-5908f82dca7a,541,402,415,49.2,23,I,CHALLENGER,3341,TOP,22,2,1.4,1.6,1.3,3,2.2
AlvaroMayer,felix.roob@gmail.com,JustinThyme,4641014c-163a-458f-977a-ea4e975b64f1,492,302,293,50.8,71,II,SILVER,1392,JUNGLE,12,16,4.5,1.7,1.6,3.8,4.6
BrianBernhard,nancey.conroy@hotmail.com,LivGood,b5f1f6a5-b10e-4100-8931-f3b7cac441ab,476,343,330,51,112,I,CHALLENGER,3276,JUNGLE,11,12,1.5,2.3,4.8,1.2,2.5
JosefaMann,chuck.mayer@gmail.com,AnitaJob,d8c47119-db30-4216-b24b-102a48455dc5,435,287,258,52.7,86,I,CHALLENGER,3235,ADC,17,19,3.5,2.8,1.6,1.6,2.9
LesMcGlynn,tessa.green@gmail.com,KennyPenny,7986c7ff-42b8-45f5-b88d-010f57823e02,397,567,513,52.5,1,IV,DIAMOND,2697,TOP,23,2,1.9,4.7,4.5,1.8,1.5
WilburDare,aleshia.wyman@gmail.com,RowanBoatman,b3adad13-c60a-454d-8d89-97c2e0ebaf9f,640,452,391,53.6,51,III,GOLD,2040,JUNGLE,11,15,4.8,4,3.4,3.1,1.9
AgustinGislason,malcolm.hoppe@gmail.com,WinnieDipoo,cfc4087f-ac3a-42a9-b96e-6a7cda841bf7,231,394,365,51.9,90,I,MASTER,3031,ADC,2,4,4.4,4.9,2.7,4.6,2.9
AudreyReynolds,raymundo.hettinger@yahoo.com,RustyFender,2d6c0861-744a-4712-b2ba-6f6a172d3c08,381,172,154,52.8,1,IV,SILVER,1481,TOP,1,5,1.6,2.1,2.4,4.2,3.9
MissSanfordEbert,delta.considine@hotmail.com,OliveYew,51fcbf18-e385-42ab-b526-6d87ca9ffb8d,161,298,250,54.4,0,III,GOLD,1561,MID,10,11,3.3,4.7,4.3,4.3,2.7
RocioKshlerin,cecily.treutel@yahoo.com,AlOMoaney,a70c8458-b0d6-42a7-8ba0-9fbdae21a7e4,599,74,43,63.2,1,IV,BRONZE,1299,SUPPORT,9,13,1.4,1.7,4.1,4.6,1
MissFloStrosin,illa.durgan@hotmail.com,JasmineFlowers,b302b12b-974f-45d6-8b47-7793861508d5,243,195,194,50.1,0,IV,SILVER,1343,TOP,3,7,3.4,3.9,4.8,3.2,3.5
MarnaGislason,brian.halvorson@gmail.com,HopeFerterbest,1ad8d1b1-e1ec-49d6-b0ed-fdc0d9161269,107,355,366,49.2,0,I,CHALLENGER,2907,TOP,5,9,1.8,4.2,3,1.3,2.3
FerdinandStark,clement.johnson@hotmail.com,ArielHassle,cb84b374-a17c-443a-9121-aa9149cf183e,318,354,347,50.5,14,III,SILVER,1318,SUPPORT,3,4,2.8,2.2,1.6,4.5,4.5
BobbySchneiderDVM,adolfo.hauck@gmail.com,PaigeTurner,01b7d7fb-5604-4032-8842-cb7be1a3fc70,89,40,22,64.5,298,I,MASTER,2889,JUNGLE,8,9,1.1,1,2.9,2.9,4.3
DonKerluke,marshall.torp@gmail.com,RussellIngleaves,a1a915f5-f594-45ca-9f4c-822655ed6704,514,146,127,53.5,1,II,GOLD,1814,SUPPORT,0,1,3,4.9,2.3,3.7,4.4
LeonardoDach,jodie.bartoletti@hotmail.com,ArtMajor,a186e32e-6d17-4a04-8a97-a40ea581fe88,694,148,118,55.6,0,IV,GOLD,2194,JUNGLE,0,2,4.9,3.9,2.4,4.7,4.6
KatiHilpert,rubin.weimann@yahoo.com,TrinaWoods,d9b964ec-a785-4fc4-8441-b410d796c120,562,428,388,52.5,47,I,GRANDMASTER,3362,TOP,15,16,4.7,4.4,4.8,3.7,3.5
CliffPacocha,mozella.bradtke@hotmail.com,WillieWaite,8de5f83a-4602-4d0d-952f-6676a6295a05,260,60,20,75,37,I,DIAMOND,2260,TOP,2,5,1.5,2.3,4.1,1.9,2.3
RogerVeumDVM,sheldon.sawayn@yahoo.com,WaltSmedley,9709de33-065e-43d3-8986-4d42ca1d1f1c,125,159,107,59.8,1,IV,GOLD,1625,SUPPORT,1,5,3,3.7,2.9,2.1,1.4
MissWilfredCorwin,rogelio.oconner@gmail.com,BrookLynnBridge,98c8775f-fc06-4630-992f-1ecf17ee805b,9,126,84,60,0,III,DIAMOND,2209,TOP,6,10,4.9,3.7,1.3,4.9,2.4
LeanCarroll,nickolas.kuvalis@gmail.com,AnitaBathe,5a26a169-62cf-4fb7-ab59-78fae232d23c,330,379,309,55.1,47,I,SILVER,1130,SUPPORT,11,12,4.1,3.2,2.8,4.8,1.2
RaymondSchillerPhD,jason.homenick@hotmail.com,BillLoney,a1a32dd4-9063-4617-980e-7b032e303907,466,330,312,51.4,18,II,SILVER,1366,SUPPORT,3,6,4.3,1.3,4.9,1.7,2.3
AileneBayer,dione.gislason@gmail.com,GeorgeWashingtonSleptier,fc58c513-b35c-43c8-a626-0c42eb748543,257,197,177,52.7,1,III,IRON,457,SUPPORT,16,17,3.4,1.2,2.2,2,4.1
MarvelTremblaySr.,bob.lehner@yahoo.com,TamaraKnight,64f86510-1cee-407d-8850-191dedc87726,381,82,72,53.2,1,I,GRANDMASTER,3181,SUPPORT,17,20,4.6,1.9,4.1,1.3,4.5
RegeniaQuitzon,wilber.champlin@hotmail.com,WoodyForrest,fa1a8bb3-0451-4519-b1a7-0f47c00eb38a,231,645,651,49.8,36,I,MASTER,3031,TOP,18,22,3.8,4.7,3.2,1.7,4
JuneWolf,spencer.cronin@yahoo.com,WoodyU.No,19589324-ad83-4cbd-ac39-8e6aff91b53c,174,169,125,57.5,13,IV,DIAMOND,2474,ADC,3,4,1.9,4.2,2.9,1.5,1.3
JosieGusikowski,jeremiah.fisher@yahoo.com,BenCrobbery,5dae8018-bbec-45bd-b759-d3d85757afa8,63,49,49,50,47,III,GOLD,1463,JUNGLE,17,21,4.3,4.4,2.9,2,3.1
VanKutch,hermelinda.dubuque@hotmail.com,I.Pullem,5840eeb7-f9ea-45d8-855f-6eedd6d3ec58,677,715,708,50.2,1,I,GRANDMASTER,3477,ADC,21,0,3.2,3.2,2.6,3.2,1.3
Ms.AlbertoJohnston,lekisha.bernier@gmail.com,BeaSting,d435f811-aabb-4119-ac15-8ddbc4b0e844,652,101,97,51,16,IV,PLATINUM,2552,MID,9,12,2.3,4.6,2.4,1.7,4.3
BobbieWillms,svetlana.davis@gmail.com,BenDown,3f48741b-ff32-424e-b91f-530c88d5eb7d,626,117,91,56.2,0,I,MASTER,3426,JUNGLE,12,16,4.7,3.5,2.9,3.8,3.1
ReannaWalter,eloise.bernier@gmail.com,ClaraSabell,9b76bb64-85c6-4bd1-b3bd-9f9a0a46e63a,487,149,104,58.9,37,I,MASTER,3287,ADC,20,21,2,4.5,2.9,3.6,3.1
LatrishaNitzsche,bernard.treutel@yahoo.com,DeeSember,793c3e7f-914a-414d-9d11-457a7173c9ba,184,28,21,57.1,104,I,CHALLENGER,2984,TOP,15,16,4.2,4.3,1.9,1.7,4.1
DudleyHauck,yaeko.denesik@yahoo.com,WarrenT.,156a83bd-1840-47d5-8d37-547e1d799c81,586,305,252,54.8,1,IV,PLATINUM,2486,SUPPORT,14,15,4.7,1.6,4.6,4.5,2.5
SharikaCruickshank,fletcher.bernhard@gmail.com,BarbDwyer,7a80da6e-40c4-4300-9c29-5ea46543445b,379,104,67,60.8,153,III,SILVER,1379,ADC,15,19,3.2,1.3,3.7,3.2,1.1
DwainBraun,rex.lesch@gmail.com,BrightonEarly,e115012f-18cb-4b2f-8615-e58e4d10060a,523,109,110,49.8,1,II,SILVER,1423,JUNGLE,9,13,3,3.3,2.7,2.7,3.8
MackenzieHowell,maryellen.weissnat@hotmail.com,M.Balmer,605205fb-690b-4a5d-a26a-4844f681d771,275,93,77,54.7,4,II,SILVER,1175,TOP,2,3,4,4.9,1.6,1.6,1.1
ManCronaSr.,vesta.langworth@hotmail.com,NickOTime,9cd085a9-2e0c-4c73-b72a-7f9666bd176c,515,263,199,56.9,1,I,GOLD,1715,MID,0,2,1.8,2.1,2.5,1.6,3.3
MissRollandFranecki,vonnie.halvorson@hotmail.com,RodN.Reel,794d758d-39cb-46cd-8b07-4de2bf16526e,432,197,165,54.4,18,III,GOLD,1832,TOP,3,5,4.7,4.6,3.9,3.8,2.3
EzequielJohnston,adele.heathcote@gmail.com,AnnaGraham,a10c6f5a-602f-4237-92dc-749a9e87c352,451,365,324,53,13,II,DIAMOND,2551,JUNGLE,0,3,4.4,2.5,3.2,2.3,3.6
LeisaBraunV,lenard.stehr@gmail.com,AllenRench,1c3bcc76-0659-4b23-a98d-b89c49465fb4,423,525,469,52.8,18,I,PLATINUM,2023,MID,7,9,4.2,3.4,1.2,2.2,4.9
HaroldFadelIII,rusty.emmerich@gmail.com,MargeInnastraightline,9cf9549a-7ef5-40df-a18c-89fea253b3a4,472,74,63,54,0,II,IRON,572,TOP,13,16,2.7,1.9,2.9,1.8,3.6
ArdellaSwaniawski,carmella.miller@gmail.com,NickOTime,dd9db568-5655-421c-b03c-55b8b26574a1,99,270,207,56.6,71,IV,GOLD,1599,SUPPORT,9,10,3.3,2,3.4,3.1,4.9
JosephWintheiser,raul.bernier@gmail.com,BruceEasley,b948c1a3-d902-4ac8-8206-a91fcdd9d6f0,416,376,344,52.2,0,III,DIAMOND,2616,MID,10,13,1.2,4.1,4.5,3.6,1.7
LorettaOndricka,ezequiel.romaguera@hotmail.com,ImaHogg,a349a7fc-949c-4045-9286-980c6aa6d229,618,316,301,51.2,42,III,DIAMOND,2818,MID,15,18,4.6,5,1.1,2.4,3.2
EdwardCormierI,andre.balistreri@hotmail.com,DeeZaster,4136f058-95df-48f9-8d55-e3580227d4a8,552,197,134,59.5,95,I,GRANDMASTER,3352,TOP,3,5,3.2,1.5,1.2,1.8,4.1
TennilleJacobiDVM,noreen.murphy@hotmail.com,RyanCarnation,3e71c372-10f0-423b-a8b0-f95392a325dd,189,274,280,49.5,0,II,PLATINUM,1889,MID,13,15,3.8,4.8,4.7,1.1,3.2
FidelAufderhar,marisa.macejkovic@hotmail.com,KareemOWeet,65b98530-e89b-484a-b8dc-1385fc018009,78,84,59,58.7,1,III,IRON,278,ADC,23,3,2,1.5,2.3,2.2,3
TulaKuhlman,bettye.dickinson@gmail.com,BenLyon,61c42307-a832-4ea2-bccc-024d6958f3f2,620,75,48,61,161,I,BRONZE,1020,TOP,16,19,2,4.4,1.3,2.2,4
DevinWhiteSr.,na.lemke@hotmail.com,ColinAllcars,1b463226-3351-4f11-8981-d9a1d3a413c6,612,122,87,58.4,49,IV,DIAMOND,2912,MID,9,11,4.9,2.3,2.5,3.5,1.1
ElliotWolff,eliseo.marvin@gmail.com,RichKidd,e9a0d838-9477-4b5d-aec4-229d0fe44cf1,76,186,133,58.3,1,III,GOLD,1476,TOP,11,13,4.5,1.3,4.3,2.5,5
FreemanMertz,tommye.larson@hotmail.com,ScottShawnDeRocks,66281dfe-4391-4dc4-b56c-bb10845e045a,343,161,135,54.4,1,I,PLATINUM,1943,MID,22,0,1.1,1.4,2,1.5,1.1
Ms.MarenCronin,lovella.okuneva@gmail.com,ReneeSance,c2140245-3e64-4c95-b403-44eb4dbe24dd,52,178,183,49.3,0,IV,DIAMOND,2352,SUPPORT,18,19,4.7,5,4.3,2,4.8
FidelKeeling,freda.boyle@hotmail.com,KimPayneSlogan,7b56f370-7dbc-45a7-8d6d-3f093428785d,526,245,220,52.7,75,IV,DIAMOND,2826,SUPPORT,17,21,3.6,1.6,3.7,4,4.8
ValdaZboncak,carmine.buckridge@hotmail.com,WinnieDipoo,64e1015b-a4b4-4a1b-a00d-c53b3b3f29ab,334,257,224,53.4,1,I,IRON,334,ADC,2,4,2.9,2.1,1.6,1.9,4
